name,state,city,type,latitude,longitude,web_url,ranking,rating,reviews_count,license_type,address,zip_code,retailer_services,date
The Originals Factory & Weed Shop,California,Los Angeles,dispensary,33.98087,-118.26285,https://weedmaps.com/dispensaries/the-originals-factory-weed-shop,4.369383890396392,4.68918918918919,74,medical,6500 Stanford Ave,90001,['storefront'],11-04-2019
OG CENTRAL,California,LOS ANGELES,dispensary,33.977237,-118.25618,https://weedmaps.com/dispensaries/og-central,4.777566563450246,4.8695652173913,345,medical,6908 S CENTRAL AVE,90001,['storefront'],11-04-2019
Divine Choice Delivery,California,South LA,delivery,33.989345,-118.256421,https://weedmaps.com/deliveries/divine-choice-delivery-9,3.841096839940952,4.52,25,medical,,90001,['delivery'],11-04-2019
LA Collective,California,Los Angeles,dispensary,33.956804,-118.291357,https://weedmaps.com/dispensaries/crown-collective-la-south-la,3.838242054893372,4.27083333333333,48,medical,8826 South Vermont,90044,['storefront'],11-04-2019
Crown Collective LA,California,Los Angeles,dispensary,33.975134,-118.251314,https://weedmaps.com/dispensaries/crown-collective-la,4.510301688037086,4.60412371134021,485,medical,1319 E Florence Ave,90001,['storefront'],11-04-2019
Broadway LA Pharmacy - 30 CAP,CA,Los Angeles,dispensary,33.951708,-118.277845,https://weedmaps.com/dispensaries/santa-ana-outrageousness,4.663405635132129,4.71902017291066,694,medical,9304 S. Broadway,90003,['storefront'],11-04-2019
Omnia Industry,California,Los Angeles,dispensary,33.981046,-118.238455,https://weedmaps.com/dispensaries/omnia-industry-dispensary,4.18246997338649,4.47311827956989,93,hybrid,6420 Wilmington Ave.,90001,['storefront'],11-04-2019
Goblin Kingz,California,Los Angeles,dispensary,33.980313,-118.291972,https://weedmaps.com/dispensaries/goblin-kingz-1,4.43829853673415,4.85,40,medical,6507 S. Vermont Ave,90044,['storefront'],11-04-2019
420 Degrees,CA,Los Angeles,delivery,33.960414,-118.264784,https://weedmaps.com/deliveries/420-degrees-10,4.21289348759669,4.75757575757576,33,medical,,90001,['delivery'],11-04-2019
LA Green Run - South LA / Watts,California,Los Angeles,delivery,33.945624,-118.265803,https://weedmaps.com/deliveries/la-green-run-south-la-2,4.19219123512561,4.46181818181818,110,medical,,90003,['delivery'],11-04-2019
Hot Box 20 Cap Collective,CA,Los Angeles,dispensary,33.979507,-118.240861,https://weedmaps.com/dispensaries/vee-account,4.88586529988812,4.90512900217594,3217,medical,6600 Holmes Ave,90001,['storefront'],11-04-2019
Green Gears 20 Cap,California,Los Angeles,dispensary,33.937498,-118.292335,https://weedmaps.com/dispensaries/green-gears-20-cap,4.626839884389215,4.67554858934169,638,medical,10837 S. Vermont Avenue Unit C,90044,['storefront'],11-04-2019
Green Monkey,California,Los Angeles,delivery,33.974724,-118.265286,https://weedmaps.com/deliveries/green-monkey,3.73434373948387,3.99324324324324,148,medical,,90003,['delivery'],11-04-2019
High Roller - Grand Opening 10/23!,California,Los Angeles,dispensary,33.965518,-118.256158,https://weedmaps.com/dispensaries/high-roller,3.818855442651916,5.0,10,medical,8100 S. Central Ave,90001,['storefront'],11-04-2019
Take Flight LA,California,Los Angeles,delivery,33.9733,-118.292286,https://weedmaps.com/deliveries/take-flight-la,3.6647081135969,4.15555555555556,45,medical,,90044,['delivery'],11-04-2019
Scooters,California,Los Angeles,dispensary,33.93178,-118.29136,https://weedmaps.com/dispensaries/skooters,4.923799633092753,4.9392047321722,3043,medical,11318 S. Vermont Ave,90044,['storefront'],11-04-2019
OG Top Shop,California,Los Angeles,dispensary,33.95718,-118.29137,https://weedmaps.com/dispensaries/vermont-gas,4.915238282382491,4.928,3825,medical,8836 South Vermont,90044,['storefront'],11-04-2019
OMG Avalon 20 Cap Collective,CA,Los Angeles,dispensary,33.965903,-118.264877,https://weedmaps.com/dispensaries/535-collective,4.87600688763608,4.89898892633606,2077,medical,8018 Avalon Blvd,90003,['storefront'],11-04-2019
Loud 20 Cap,CA,Los Angeles,dispensary,33.974956,-118.272003,https://weedmaps.com/dispensaries/loud-30-cap-collective,4.856310200972862,4.87345501120717,3123,medical,157-159 East Florence,90003,['storefront'],11-04-2019
Vermont 30 Cap,California,Los Angeles,dispensary,33.955963,-118.29127,https://weedmaps.com/dispensaries/vermont-30-cap,4.833164653822105,4.86358754027927,931,medical,8918 S Vermont Ave,90044,['storefront'],11-04-2019
20 COLLECTIVE,CA,Los Angeles,dispensary,33.960331,-118.240531,https://weedmaps.com/dispensaries/green-stock-20,4.810736400594084,4.84718100890208,674,medical,1789 Firestone Blvd,90001,['storefront'],11-04-2019
LA Treehouse,California,Los Angeles,dispensary,33.974322,-118.29693,https://weedmaps.com/dispensaries/la-treehouse,4.48041346347707,4.69827586206897,116,medical,1216 West Florence Ave,90044,['storefront'],11-04-2019
Green Temple,California,Los Angeles,dispensary,33.972778,-118.256251,https://weedmaps.com/dispensaries/green-temple-compton,4.44508457211768,4.66935483870968,124,medical,7416 S Central Ave.,90001,['storefront'],11-04-2019
Green Garden Collective,CA,Los Angeles,dispensary,33.930478,-118.291258,https://weedmaps.com/dispensaries/green-garden-collective-3,4.424711024066279,4.52238805970149,469,medical,11414 S Vermont Ave.,90044,['storefront'],11-04-2019
Green Dream Caregivers 24 Hours,California,Los Angeles,dispensary,33.978935,-118.300026,https://weedmaps.com/dispensaries/sepulveda-caregivers,4.288973278949062,4.46818181818182,220,medical,Normandie Ave,90044,['storefront'],11-04-2019
Weed 4 Less 15 Cap,California,Los Angeles,dispensary,33.972033,-118.273791,https://weedmaps.com/dispensaries/weed-4-less-15-cap,4.190213582403808,4.40718562874252,167,medical,7500 S. Main St.,90003,['storefront'],11-04-2019
Central Hotbox,California,Los Angeles,dispensary,33.970961,-118.256164,https://weedmaps.com/dispensaries/central-hotbox,4.170293222269656,4.52173913043478,69,medical,7616 South Central Avenue,90001,['storefront'],11-04-2019
DOC420 South L.A.,California,Los Angeles,doctor,33.960021,-118.291603,https://weedmaps.com/doctors/doc420-south-l-a,4.68158063552875,4.91208791208791,91,medical,Please visit our website: www.doc420.com,90044,['doctor'],11-04-2019
420Recs.com- South La (100% Online),ca,Los Angeles,doctor,33.989486,-118.273978,https://weedmaps.com/doctors/420recs-com-south-la,3.12303065061999,4.14,10,medical,420recs.com,90037,['doctor'],11-04-2019
420AvalonMD,CA,Los Angeles,doctor,33.923061,-118.264937,https://weedmaps.com/doctors/420avalonmd,4.240961094388643,4.9578947368421,19,medical,603 E. 121th Street,90059,['doctor'],11-04-2019
