dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,location,lat,lon,cross_street,weapon_used_cd,weapon_desc,crm_cd_2,crm_cd_3
001307355,2010-02-20T00:00:00.000,2010-02-20T00:00:00.000,1350,13,Newton,1385,2,900,VIOLATION OF COURT ORDER,0913 1814 2000,48,M,H,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,900,300 E  GAGE                         AV,33.9825,-118.2695,,,,,
011401303,2010-09-13T00:00:00.000,2010-09-12T00:00:00.000,0045,14,Pacific,1485,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,M,W,101,STREET,IC,Invest Cont,740,SEPULVEDA                    BL,33.9599,-118.3962,MANCHESTER                   AV,,,,
070309629,2010-08-09T00:00:00.000,2010-08-09T00:00:00.000,1515,13,Newton,1324,2,946,OTHER MISCELLANEOUS CRIME,0344,0,M,H,103,ALLEY,IC,Invest Cont,946,1300 E  21ST                         ST,34.0224,-118.2524,,,,,
090631215,2010-01-05T00:00:00.000,2010-01-05T00:00:00.000,0150,06,Hollywood,0646,2,900,VIOLATION OF COURT ORDER,1100 0400 1402,47,F,W,101,STREET,IC,Invest Cont,900,CAHUENGA                     BL,34.1016,-118.3295,HOLLYWOOD                    BL,102,HAND GUN,998,
100100501,2010-01-03T00:00:00.000,2010-01-02T00:00:00.000,2100,01,Central,0176,1,122,"RAPE, ATTEMPTED",0400,47,F,H,103,ALLEY,IC,Invest Cont,122,8TH                          ST,34.0387,-118.2488,SAN PEDRO                    ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100506,2010-01-05T00:00:00.000,2010-01-04T00:00:00.000,1650,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1402,23,M,B,404,DEPARTMENT STORE,AA,Adult Arrest,442,700 W  7TH                          ST,34.0480,-118.2577,,,,,
100100508,2010-01-08T00:00:00.000,2010-01-07T00:00:00.000,2005,01,Central,0182,1,330,BURGLARY FROM VEHICLE,0344,46,M,H,101,STREET,IC,Invest Cont,330,PICO                         BL,34.0389,-118.2643,GRAND                        AV,,,,
100100509,2010-01-09T00:00:00.000,2010-01-08T00:00:00.000,2100,01,Central,0157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,51,M,B,710,OTHER PREMISE,AA,Adult Arrest,230,500    CROCKER                      ST,34.0435,-118.2427,,500,UNKNOWN WEAPON/OTHER WEAPON,,
100100510,2010-01-09T00:00:00.000,2010-01-09T00:00:00.000,0230,01,Central,0171,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416,30,M,H,108,PARKING LOT,IC,Invest Cont,230,800 W  OLYMPIC                      BL,34.0450,-118.2640,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100511,2010-01-09T00:00:00.000,2010-01-06T00:00:00.000,2100,01,Central,0132,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,55,M,W,710,OTHER PREMISE,IC,Invest Cont,341,200 S  OLIVE                        ST,34.0538,-118.2488,,,,998,
100100521,2010-01-14T00:00:00.000,2010-01-14T00:00:00.000,1445,01,Central,0118,2,624,BATTERY - SIMPLE ASSAULT,0400 0429 2000,38,F,B,101,STREET,IC,Invest Cont,624,900 N  BROADWAY,34.0640,-118.2375,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100522,2010-01-15T00:00:00.000,2010-01-14T00:00:00.000,2000,01,Central,0158,1,210,ROBBERY,0344,40,M,H,101,STREET,AO,Adult Other,210,ALAMEDA                      ST,34.0350,-118.2386,7TH                          ST,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,
100100523,2010-01-15T00:00:00.000,2010-01-15T00:00:00.000,0245,01,Central,0182,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,24,F,W,102,SIDEWALK,AA,Adult Arrest,740,1100 S  OLIVE                        ST,34.0409,-118.2609,,,,,
100100529,2010-01-16T00:00:00.000,2010-01-15T00:00:00.000,1745,01,Central,0152,2,755,BOMB SCARE,0404,29,F,B,738,LIBRARY,IC,Invest Cont,755,600 W  5TH                          ST,34.0502,-118.2540,,500,UNKNOWN WEAPON/OTHER WEAPON,,
