name,state,city,type,latitude,longitude,web_url,ranking,rating,reviews_count,license_type,address,zip_code,retailer_services,date
The Originals Factory & Weed Shop,California,Los Angeles,dispensary,33.98087,-118.26285,https://weedmaps.com/dispensaries/the-originals-factory-weed-shop,4.57624424785344,4.77142857142857,140,medical,6500 Stanford Ave,90001,['storefront'],11-23-2019
OG CENTRAL,California,LOS ANGELES,dispensary,33.977237,-118.25618,https://weedmaps.com/dispensaries/og-central,4.833357733870817,4.8954954954955,555,medical,6908 S CENTRAL AVE,90001,['storefront'],11-23-2019
Divine Choice Delivery,California,South LA,delivery,33.989345,-118.256421,https://weedmaps.com/deliveries/divine-choice-delivery-9,3.82350840389725,4.44827586206897,29,medical,,90001,['delivery'],11-23-2019
LA Collective,California,Los Angeles,dispensary,33.956804,-118.291357,https://weedmaps.com/dispensaries/crown-collective-la-south-la,4.074677219787516,4.44262295081967,61,medical,8826 South Vermont,90044,['storefront'],11-23-2019
Crown Collective LA,California,Los Angeles,dispensary,33.975134,-118.251314,https://weedmaps.com/dispensaries/crown-collective-la,4.5118970650325,4.60446247464503,493,medical,1319 E Florence Ave,90001,['storefront'],11-23-2019
Broadway LA Pharmacy - 30 CAP,CA,Los Angeles,dispensary,33.951708,-118.277845,https://weedmaps.com/dispensaries/santa-ana-outrageousness,4.64872361217359,4.70554765291607,703,medical,9304 S. Broadway,90003,['storefront'],11-23-2019
Omnia Industry,California,Los Angeles,dispensary,33.981046,-118.238455,https://weedmaps.com/dispensaries/omnia-industry-dispensary,4.20605607785597,4.48958333333333,96,hybrid,6420 Wilmington Ave.,90001,['storefront'],11-23-2019
Goblin Kingz,California,Los Angeles,dispensary,33.980313,-118.291972,https://weedmaps.com/dispensaries/goblin-kingz-1,4.520481442967113,4.875,48,medical,6507 S. Vermont Ave,90044,['storefront'],11-23-2019
Dank Stop 20 Cap,California,Los Angeles,dispensary,33.98036,-118.273602,https://weedmaps.com/dispensaries/dannk-city,4.790302350955888,4.81459658520255,2987,medical,6504 S Main St,90003,['storefront'],11-23-2019
420 Degrees,CA,Los Angeles,delivery,33.960414,-118.264784,https://weedmaps.com/deliveries/420-degrees-10,4.11924628756024,4.65714285714286,35,medical,,90001,['delivery'],11-23-2019
LA Green Run - South LA / Watts,California,Los Angeles,delivery,33.945624,-118.265803,https://weedmaps.com/deliveries/la-green-run-south-la-2,4.194478918846865,4.45840707964602,113,medical,,90003,['delivery'],11-23-2019
Hot Box 20 Cap Collective,CA,Los Angeles,dispensary,33.979507,-118.240861,https://weedmaps.com/dispensaries/vee-account,4.883599780173378,4.90303405572755,3230,medical,6600 Holmes Ave,90001,['storefront'],11-23-2019
Green Gears 20 Cap,California,Los Angeles,dispensary,33.937498,-118.292335,https://weedmaps.com/dispensaries/green-gears-20-cap,4.647858947581876,4.69390787518574,673,medical,10837 S. Vermont Avenue Unit C,90044,['storefront'],11-23-2019
Green Monkey,California,Los Angeles,delivery,33.974724,-118.265286,https://weedmaps.com/deliveries/green-monkey,3.738128354837225,3.99342105263158,152,medical,,90003,['delivery'],11-23-2019
High Roller - Grand Opening 10/23!,California,Los Angeles,dispensary,33.965518,-118.256158,https://weedmaps.com/dispensaries/high-roller,3.96181307196379,4.73684210526316,19,medical,8100 S. Central Ave,90001,['storefront'],11-23-2019
Scooters,California,Los Angeles,dispensary,33.93178,-118.29136,https://weedmaps.com/dispensaries/skooters,4.92337400716375,4.93885601577909,3042,medical,11318 S. Vermont Ave,90044,['storefront'],11-23-2019
OG Top Shop,California,Los Angeles,dispensary,33.95718,-118.29137,https://weedmaps.com/dispensaries/vermont-gas,4.915127646613983,4.92790575916231,3820,medical,8836 South Vermont,90044,['storefront'],11-23-2019
OMG Avalon 20 Cap Collective,CA,Los Angeles,dispensary,33.965903,-118.264877,https://weedmaps.com/dispensaries/535-collective,4.876303078567001,4.89923150816523,2082,medical,8018 Avalon Blvd,90003,['storefront'],11-23-2019
