BUSINESS_NAME,STATE,CITY,LATITUDE,LONGITUDE,ADDRESS,ZIPCODE,DATE_SCRAPED,SOURCE
The Originals Factory & Weed Shop,California,Los Angeles,33.98087,-118.26285,6500 Stanford Ave,90001,11-24-2019,WEEDMAPS
OG CENTRAL,California,LOS ANGELES,33.977237,-118.25618,6908 S CENTRAL AVE,90001,11-24-2019,WEEDMAPS
Divine Choice Delivery,California,South LA,33.989345,-118.256421,,90001,11-24-2019,WEEDMAPS
LA Collective,California,Los Angeles,33.956804,-118.291357,8826 South Vermont,90044,11-24-2019,WEEDMAPS
Crown Collective LA,California,Los Angeles,33.975134,-118.251314,1319 E Florence Ave,90001,11-24-2019,WEEDMAPS
Broadway LA Pharmacy - 30 CAP,CA,Los Angeles,33.951708,-118.277845,9304 S. Broadway,90003,11-24-2019,WEEDMAPS
Omnia Industry,California,Los Angeles,33.981046,-118.238455,6420 Wilmington Ave.,90001,11-24-2019,WEEDMAPS
Goblin Kingz,California,Los Angeles,33.980313,-118.291972,6507 S. Vermont Ave,90044,11-24-2019,WEEDMAPS
Dank Stop 20 Cap,California,Los Angeles,33.98036,-118.273602,6504 S Main St,90003,11-24-2019,WEEDMAPS
420 Degrees,CA,Los Angeles,33.960414,-118.264784,,90001,11-24-2019,WEEDMAPS
LA Green Run - South LA / Watts,California,Los Angeles,33.945624,-118.265803,,90003,11-24-2019,WEEDMAPS
Hot Box 20 Cap Collective,CA,Los Angeles,33.979507,-118.240861,6600 Holmes Ave,90001,11-24-2019,WEEDMAPS
Green Gears 20 Cap,California,Los Angeles,33.937498,-118.292335,10837 S. Vermont Avenue Unit C,90044,11-24-2019,WEEDMAPS
Green Monkey,California,Los Angeles,33.974724,-118.265286,,90003,11-24-2019,WEEDMAPS
High Roller - Grand Opening 10/23!,California,Los Angeles,33.965518,-118.256158,8100 S. Central Ave,90001,11-24-2019,WEEDMAPS
Scooters,California,Los Angeles,33.93178,-118.29136,11318 S. Vermont Ave,90044,11-24-2019,WEEDMAPS
OG Top Shop,California,Los Angeles,33.95718,-118.29137,8836 South Vermont,90044,11-24-2019,WEEDMAPS
OMG Avalon 20 Cap Collective,CA,Los Angeles,33.965903,-118.264877,8018 Avalon Blvd,90003,11-24-2019,WEEDMAPS
Loud 20 Cap,CA,Los Angeles,33.974956,-118.272003,157-159 East Florence,90003,11-24-2019,WEEDMAPS
20 COLLECTIVE,CA,Los Angeles,33.960331,-118.240531,1789 Firestone Blvd,90001,11-24-2019,WEEDMAPS
Vermont 30 Cap,California,Los Angeles,33.955963,-118.29127,8918 S Vermont Ave,90044,11-24-2019,WEEDMAPS
Green Temple,California,Los Angeles,33.972778,-118.256251,7416 S Central Ave.,90001,11-24-2019,WEEDMAPS
Green Garden Collective,CA,Los Angeles,33.930478,-118.291258,11414 S Vermont Ave.,90044,11-24-2019,WEEDMAPS
Green Dream Caregivers 24 Hours,California,Los Angeles,33.978935,-118.300026,Normandie Ave,90044,11-24-2019,WEEDMAPS
Weed 4 Less 15 Cap,California,Los Angeles,33.972033,-118.273791,7500 S. Main St.,90003,11-24-2019,WEEDMAPS
Central Hotbox,California,Los Angeles,33.970961,-118.256164,7616 South Central Avenue,90001,11-24-2019,WEEDMAPS
DOC420 South L.A.,California,Los Angeles,33.960021,-118.291603,Please visit our website: www.doc420.com,90044,11-24-2019,WEEDMAPS
420Recs.com- South La (100% Online),ca,Los Angeles,33.989486,-118.273978,420recs.com,90037,11-24-2019,WEEDMAPS
420AvalonMD,CA,Los Angeles,33.923061,-118.264937,603 E. 121th Street,90059,11-24-2019,WEEDMAPS
