alias,latitude,longitude,display_phone,id,address,city,country,state,zip_code,name,phone,price,rating,review_count,url,SOURCE,DATE_SCRAPED
la-cannabis-co-inglewood-los-angeles,33.98545,-118.31199,(323) 778-8540,0zyJAQK15vOidZlc8ObknA,5993 S Saint Andrews Pl,Los Angeles,US,CA,90047,LA Cannabis Co - Inglewood,+13237788540,,4.5,13,https://www.yelp.com/biz/la-cannabis-co-inglewood-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
medmen-los-angeles-lax-airport-los-angeles-4,33.95765,-118.39575,(424) 290-8030,wc5I4zMTqo9vaKM49mwixQ,8740 S Sepulveda Blvd,Los Angeles,US,CA,90045,MedMen Los Angeles - LAX Airport,+14242908030,$$,4.0,161,https://www.yelp.com/biz/medmen-los-angeles-lax-airport-los-angeles-4?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
la-cannabis-co-los-angeles-los-angeles-5,34.0187479,-118.3193331,(323) 733-3644,BBJKcmLHfjvbUV_ooyppNg,3791 2nd Ave,Los Angeles,US,CA,90018,LA Cannabis Co - Los Angeles,+13237333644,$,3.5,16,https://www.yelp.com/biz/la-cannabis-co-los-angeles-los-angeles-5?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
vip-collective-la-los-angeles-2,33.96506,-118.30933,(424) 261-5360,AKk11sZQ86NmYsPZsr81Jg,8113 S Western Ave,Los Angeles,US,CA,90047,VIP Collective LA,+14242615360,,5.0,2,https://www.yelp.com/biz/vip-collective-la-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
medmen-los-angeles-dtla-los-angeles,34.0446,-118.25444,(213) 908-2244,-4K0Nzu_5w8E-uDv0aYIPQ,735 S Broadway,Los Angeles,US,CA,90014,MedMen Los Angeles - DTLA,+12139082244,$$,4.5,264,https://www.yelp.com/biz/medmen-los-angeles-dtla-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
new-age-care-center-los-angeles,34.01078,-118.2796,(323) 231-2795,4KbtXDM44XdBWQnR6IX9dw,350 W Martin Luther King Jr Blvd,Los Angeles,US,CA,90037,New Age Care Center,+13232312795,,4.0,18,https://www.yelp.com/biz/new-age-care-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
king-kush-collective-los-angeles-3,33.954827,-118.308771,(323) 208-9397,GkNLOCSaJkaElJp9WKzZ5g,8950 S Western Ave,Los Angeles,US,CA,90047,King Kush Collective,+13232089397,,4.0,19,https://www.yelp.com/biz/king-kush-collective-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
stone-age-farmacy-gardena-2,33.9028818,-118.2857668,(310) 366-5906,BJYocxutMfYHgcfflvhDog,621 W Rosecrans Ave,Gardena,US,CA,90248,Stone Age Farmacy,+13103665906,,4.0,109,https://www.yelp.com/biz/stone-age-farmacy-gardena-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
mecca-mid-city-los-angeles,34.0344467,-118.3695938,(323) 879-9731,MBdtzD8eCUIgOdwwF89xdA,5738 W Washington Blvd,Los Angeles,US,CA,90016,Mecca Mid City,+13238799731,$,4.0,127,https://www.yelp.com/biz/mecca-mid-city-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
the-high-note-culver-city-los-angeles-2,34.02582,-118.3607,(213) 465-1646,IyyaTRg3o4fTkyqjHZ709g,5277 W Jefferson Blvd,Los Angeles,US,CA,90016,The High Note - Culver City,+12134651646,$$,4.5,12,https://www.yelp.com/biz/the-high-note-culver-city-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,yelp,11-17-2019
