id,alias,name,url,review_count,rating,phone,display_phone,latitude,longitude,address,city,zip_code,country,state,price,SOURCE,DATE_SCRAPED
0zyJAQK15vOidZlc8ObknA,la-cannabis-co-inglewood-los-angeles,LA Cannabis Co - Inglewood,https://www.yelp.com/biz/la-cannabis-co-inglewood-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,13,4.5,+13237788540,(323) 778-8540,33.98545,-118.31199,5993 S Saint Andrews Pl,Los Angeles,90047,US,CA,,yelp,11-23-2019
wc5I4zMTqo9vaKM49mwixQ,medmen-los-angeles-lax-airport-los-angeles-4,MedMen Los Angeles - LAX Airport,https://www.yelp.com/biz/medmen-los-angeles-lax-airport-los-angeles-4?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,161,4.0,+14242908030,(424) 290-8030,33.95765,-118.39575,8740 S Sepulveda Blvd,Los Angeles,90045,US,CA,$$,yelp,11-23-2019
-4K0Nzu_5w8E-uDv0aYIPQ,medmen-los-angeles-dtla-los-angeles,MedMen Los Angeles - DTLA,https://www.yelp.com/biz/medmen-los-angeles-dtla-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,268,4.5,+12139082244,(213) 908-2244,34.0446,-118.25444,735 S Broadway,Los Angeles,90014,US,CA,$$,yelp,11-23-2019
BJYocxutMfYHgcfflvhDog,stone-age-farmacy-gardena-2,Stone Age Farmacy,https://www.yelp.com/biz/stone-age-farmacy-gardena-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,112,4.0,+13103665906,(310) 366-5906,33.9028818,-118.2857668,621 W Rosecrans Ave,Gardena,90248,US,CA,,yelp,11-23-2019
AKk11sZQ86NmYsPZsr81Jg,vip-collective-la-los-angeles-2,VIP Collective LA,https://www.yelp.com/biz/vip-collective-la-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,2,5.0,+14242615360,(424) 261-5360,33.96506,-118.30933,8113 S Western Ave,Los Angeles,90047,US,CA,,yelp,11-23-2019
BBJKcmLHfjvbUV_ooyppNg,la-cannabis-co-los-angeles-los-angeles-5,LA Cannabis Co - Los Angeles,https://www.yelp.com/biz/la-cannabis-co-los-angeles-los-angeles-5?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,17,3.5,+13237333644,(323) 733-3644,34.0187479,-118.3193331,3791 2nd Ave,Los Angeles,90018,US,CA,$,yelp,11-23-2019
GkNLOCSaJkaElJp9WKzZ5g,king-kush-collective-los-angeles-3,King Kush Collective,https://www.yelp.com/biz/king-kush-collective-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,18,4.0,+13232089397,(323) 208-9397,33.954827,-118.308771,8950 S Western Ave,Los Angeles,90047,US,CA,,yelp,11-23-2019
WbDO8dlF-35TgY5TAhil_g,goddess-delivers-los-angeles,Goddess Delivers,https://www.yelp.com/biz/goddess-delivers-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,22,4.5,+18554265246,(855) 426-5246,33.97908,-118.25009,,Los Angeles,90001,US,CA,,yelp,11-23-2019
4KbtXDM44XdBWQnR6IX9dw,new-age-care-center-los-angeles,New Age Care Center,https://www.yelp.com/biz/new-age-care-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,18,4.0,+13232312795,(323) 231-2795,34.01078,-118.2796,350 W Martin Luther King Jr Blvd,Los Angeles,90037,US,CA,,yelp,11-23-2019
MBdtzD8eCUIgOdwwF89xdA,mecca-mid-city-los-angeles,Mecca Mid City,https://www.yelp.com/biz/mecca-mid-city-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,126,4.0,+13238799731,(323) 879-9731,34.0344467,-118.3695938,5738 W Washington Blvd,Los Angeles,90016,US,CA,$,yelp,11-23-2019
IyyaTRg3o4fTkyqjHZ709g,the-high-note-culver-city-los-angeles-2,The High Note - Culver City,https://www.yelp.com/biz/the-high-note-culver-city-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,12,4.5,+12134651646,(213) 465-1646,34.02582,-118.3607,5277 W Jefferson Blvd,Los Angeles,90016,US,CA,$$,yelp,11-23-2019
ozehaU2e8NsUWGKW-Je06g,supreme-og-los-angeles,Supreme OG,https://www.yelp.com/biz/supreme-og-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,26,4.0,+12138089306,(213) 808-9306,34.052897,-118.3098959,984 S Manhattan Pl,Los Angeles,90019,US,CA,,yelp,11-23-2019
19OKybHIpT9UatfrOMfq_g,rose-collective-venice,Rose Collective,https://www.yelp.com/biz/rose-collective-venice?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,151,4.0,+13103923890,(310) 392-3890,33.9979274,-118.474851,411 Rose Ave,Venice,90291,US,CA,,yelp,11-23-2019
ecgr_zy36LwOT9QZxWZLOg,ladera-holistic-care-los-angeles,Ladera Holistic Care,https://www.yelp.com/biz/ladera-holistic-care-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,5,4.0,+13107549759,(310) 754-9759,33.98869,-118.33738,3662 W Slauson Blvd,Los Angeles,90043,US,CA,,yelp,11-23-2019
6no8euaaUgKGE-HwCaYiYg,california-caregivers-alliance-los-angeles-3,California Caregivers Alliance,https://www.yelp.com/biz/california-caregivers-alliance-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,203,4.5,+12133530100,(213) 353-0100,34.08235,-118.272037,2815 W Sunset Blvd,Los Angeles,90026,US,CA,,yelp,11-23-2019
FI_uVgsfekncS3jRYkdGFw,exclusive-caregivers-of-california-los-angeles-2,Exclusive Caregivers Of California,https://www.yelp.com/biz/exclusive-caregivers-of-california-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,3,5.0,+13239204008,(323) 920-4008,33.983,-118.31457,6200 S Wilton Pl,Los Angeles,90047,US,CA,,yelp,11-23-2019
Xj41v7HnLY-5I-2JqosnqA,the-high-note-east-la-los-angeles,The High Note - East LA,https://www.yelp.com/biz/the-high-note-east-la-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,81,4.5,+13234412157,(323) 441-2157,34.07525,-118.16657,5359 Valley Blvd,Los Angeles,90032,US,CA,$$,yelp,11-23-2019
