,review_id,rating,text,review_url,user_id,PROPERTYTYPE,Store_name,SOURCE,DATE_SCRAPED
0,Fzm0JX55DNnyQjUYq1CO6A,5,Community Centers inc. Is a great service to south Los Angeles for jobs and training.,https://www.yelp.com/biz/community-centers-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=Fzm0JX55DNnyQjUYq1CO6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,Jcc-GMX8qwFfzY_7BqPWfA,community center,Community Centers,yelp,12-01-2019
1,yT1rOi_mut1cXAK2mHf-4A,5,This is a non-profit center that offers training and employment help to the community.  They do a lot of good to the community free of charge and are...,https://www.yelp.com/biz/community-centers-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=yT1rOi_mut1cXAK2mHf-4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,COB8WTRnOQ3UwhuIDxcU7A,community center,Community Centers,yelp,12-01-2019
0,yibF6zqTWJC7AsNuwqRfGA,5,This place was amazing. So much creativity and history in one place. Everyone I spoke to was fully immersed in the movement of equality and shedding light...,https://www.yelp.com/biz/community-coalition-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=yibF6zqTWJC7AsNuwqRfGA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,czSixGSXxBiOnAs21fSxiA,community center,Community Coalition,yelp,12-01-2019
0,VMhG9c1GYrs6HWUVYeLyhw,5,JEM is a really nice community center with an excellent indoor basketball court and swimming pool.  They have their own parking lot but there is also street...,https://www.yelp.com/biz/jem-community-center-beverly-hills?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=VMhG9c1GYrs6HWUVYeLyhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,RfdtDbQwNm46T1tEKM__sA,community center,JEM Community Center,yelp,12-01-2019
1,kv85qmdIh0PFDSSp4RLadg,5,"I was looking for a place with hours for women-only swimming. This place is great for that! You have a good two-hours for you, which is great! The people...",https://www.yelp.com/biz/jem-community-center-beverly-hills?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=kv85qmdIh0PFDSSp4RLadg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,c8vHKiju8yLNnWX6UIVGhg,community center,JEM Community Center,yelp,12-01-2019
2,hBVYDSabxs-75VgdZZIorg,5,"As an elementary school basketball coach in the Beverly Hills area, I was in search of a basketball facility capable of handling 3 teams at once for...",https://www.yelp.com/biz/jem-community-center-beverly-hills?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=hBVYDSabxs-75VgdZZIorg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,QusfEJhlpCrPlAESan_O6g,community center,JEM Community Center,yelp,12-01-2019
0,P2l58XLvqvhFP5bAubXE5g,5,"Grew up In this neighborhood, and I'm happy to see a coffee shop that isn't Starbucks open up. Coffee is good, the prices are right and has this feel-good...",https://www.yelp.com/biz/south-la-cafe-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=P2l58XLvqvhFP5bAubXE5g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,zCEvilwTsrArIQLWCk_A5A,community center,South LA Cafe,yelp,12-01-2019
1,rBHup3G17c3BPKGkftO2SQ,5,Great new spot! The space is super chill and has plenty of room for relaxing or doing a bit of work. The style and decor inside is welcoming and...,https://www.yelp.com/biz/south-la-cafe-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=rBHup3G17c3BPKGkftO2SQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,7TnUTDAnNq3I4ipF-XWQKQ,community center,South LA Cafe,yelp,12-01-2019
2,FTr-V2fDf4-K5bv1aq0yyg,5,A great neighborhood coffee house.  Welcoming environment and helpful staff.  My new Saturday morning coffee spot.  Don't forget to have the coffee cake....,https://www.yelp.com/biz/south-la-cafe-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=FTr-V2fDf4-K5bv1aq0yyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,CZhOMcXHMvXN3BLgBYRzOQ,community center,South LA Cafe,yelp,12-01-2019
0,17plWPD5A1HIhV-OZCvY3w,5,"I was at this location recently, I was there for a free work shop  on how to be prepared for a disaster. C.H.A.N.G.E.S. provided free food and a raffle....",https://www.yelp.com/biz/c-h-a-n-g-e-s-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=17plWPD5A1HIhV-OZCvY3w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,KhG4XVPMCQ7mZ6XsfOo9Qg,community center,C.H.A.N.G.E.S.,yelp,12-01-2019
