,alias,LATITUDE,LONGITUDE,display_phone,id,ADDRESS,CITY,COUNTRY,STATE,ZIPCODE,BUSINESS_NAME,phone,rating,review_count,url,price,PROPERTYTYPE,SOURCE,DATE_SCRAPED
0,c-h-a-n-g-e-s-los-angeles,33.9385474020302,-118.309091093166,(323) 795-5802,ZsgfsmioJnyqppt0AJiqeA,10717 S Western Ave,Los Angeles,US,CA,90047,C.H.A.N.G.E.S.,+13237955802,5.0,1,https://www.yelp.com/biz/c-h-a-n-g-e-s-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
1,community-centers-los-angeles,33.9710899,-118.2911,(323) 752-2115,UFAWqfdQWoBy-0hMJp5Qtg,7518-7526 S Vermont Ave,Los Angeles,US,CA,90044,Community Centers,+13237522115,5.0,2,https://www.yelp.com/biz/community-centers-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
2,community-coalition-los-angeles-2,33.96522,-118.29215,(323) 750-9087,4ruFtxEzE8oKsg-dwvscuA,8101 S Vermont Ave,Los Angeles,US,CA,90044,Community Coalition,+13237509087,5.0,1,https://www.yelp.com/biz/community-coalition-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
3,jem-community-center-beverly-hills,34.0648324,-118.4124898,(310) 772-0000,Xam9ArYt625ijnmJ9GQ8iA,9930 S Santa Monica Blvd,Beverly Hills,US,CA,90212,JEM Community Center,+13107720000,4.5,22,https://www.yelp.com/biz/jem-community-center-beverly-hills?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
4,center-for-the-arts-eagle-rock-los-angeles,34.1396211728357,-118.214886188507,(323) 561-3044,B-Sb_dzgNcz8OHGYqI2jZg,2225 Colorado Blvd,Los Angeles,US,CA,90041,"Center for the Arts, Eagle Rock",+13235613044,4.5,62,https://www.yelp.com/biz/center-for-the-arts-eagle-rock-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
5,hermosa-beach-community-center-community-resources-department-hermosa-beach,33.864036,-118.394073,(310) 318-0280,Vswzf75FTseTZE8-Mg4JSQ,710 Pier Ave,Hermosa Beach,US,CA,90254,Hermosa Beach Community Center - Community Resources Department,+13103180280,4.0,8,https://www.yelp.com/biz/hermosa-beach-community-center-community-resources-department-hermosa-beach?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
6,mar-vista-family-center-los-angeles,33.993263,-118.406796,(310) 390-9607,rZKnWuaJxMBSohigJLCEjQ,5075 S Slauson Ave,Los Angeles,US,CA,90230,Mar Vista Family Center,+13103909607,4.5,2,https://www.yelp.com/biz/mar-vista-family-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
7,lawndale-community-center-lawndale,33.8979788,-118.3539849,(310) 973-3200,MubtEFl_qx7ETnZ_gL9Dvg,14717 Burin Ave,Lawndale,US,CA,90260,Lawndale Community Center,+13109733200,3.5,6,https://www.yelp.com/biz/lawndale-community-center-lawndale?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
8,paul-robeson-community-wellness-center-los-angeles-2,33.97929,-118.29211,(213) 746-1216,kJuQre-ggGCntIYjc6XFVQ,6569 S Vermont Ave,Los Angeles,US,CA,90044,Paul Robeson Community Wellness Center,+12137461216,5.0,3,https://www.yelp.com/biz/paul-robeson-community-wellness-center-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
9,carson-center-carson,33.832684,-118.262039,(310) 835-0212,Wp46EEbepdmV0aWH7WS2Iw,801 E Carson St,Carson,US,CA,90745,Carson Center,+13108350212,4.0,22,https://www.yelp.com/biz/carson-center-carson?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,NA,community center,yelp,01-31-2020
