,review_id,rating,text,review_url,user_id,PROPERTYTYPE,Store_name,SOURCE,DATE_SCRAPED
0,17plWPD5A1HIhV-OZCvY3w,5,"I was at this location recently, I was there for a free work shop  on how to be prepared for a disaster. C.H.A.N.G.E.S. provided free food and a raffle....",https://www.yelp.com/biz/c-h-a-n-g-e-s-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=17plWPD5A1HIhV-OZCvY3w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,KhG4XVPMCQ7mZ6XsfOo9Qg,community center,C.H.A.N.G.E.S.,yelp,01-31-2020
0,Fzm0JX55DNnyQjUYq1CO6A,5,Community Centers inc. Is a great service to south Los Angeles for jobs and training.,https://www.yelp.com/biz/community-centers-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=Fzm0JX55DNnyQjUYq1CO6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,Jcc-GMX8qwFfzY_7BqPWfA,community center,Community Centers,yelp,01-31-2020
1,yT1rOi_mut1cXAK2mHf-4A,5,This is a non-profit center that offers training and employment help to the community.  They do a lot of good to the community free of charge and are...,https://www.yelp.com/biz/community-centers-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=yT1rOi_mut1cXAK2mHf-4A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,COB8WTRnOQ3UwhuIDxcU7A,community center,Community Centers,yelp,01-31-2020
0,yibF6zqTWJC7AsNuwqRfGA,5,This place was amazing. So much creativity and history in one place. Everyone I spoke to was fully immersed in the movement of equality and shedding light...,https://www.yelp.com/biz/community-coalition-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=yibF6zqTWJC7AsNuwqRfGA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,czSixGSXxBiOnAs21fSxiA,community center,Community Coalition,yelp,01-31-2020
0,9hVGADrJOWgNQQ_lLz0Phg,5,Amazing rabbi Danny is a goat lmao very nice dude he is very nice jem is a good place to visit for minayan,https://www.yelp.com/biz/jem-community-center-beverly-hills?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=9hVGADrJOWgNQQ_lLz0Phg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,uJ1wzV0AsYAUb3M3nKSKmg,community center,JEM Community Center,yelp,01-31-2020
1,VMhG9c1GYrs6HWUVYeLyhw,5,JEM is a really nice community center with an excellent indoor basketball court and swimming pool.  They have their own parking lot but there is also street...,https://www.yelp.com/biz/jem-community-center-beverly-hills?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=VMhG9c1GYrs6HWUVYeLyhw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,RfdtDbQwNm46T1tEKM__sA,community center,JEM Community Center,yelp,01-31-2020
2,kv85qmdIh0PFDSSp4RLadg,5,"I was looking for a place with hours for women-only swimming. This place is great for that! You have a good two-hours for you, which is great! The people...",https://www.yelp.com/biz/jem-community-center-beverly-hills?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=kv85qmdIh0PFDSSp4RLadg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,c8vHKiju8yLNnWX6UIVGhg,community center,JEM Community Center,yelp,01-31-2020
0,2hWsrZg-nOdBIUHX2Y4LzA,5,We love CFAER! We had our May 2019 wedding here and honestly we didn't look anywhere else because we loved it so much. It's a very intimate space and it...,https://www.yelp.com/biz/center-for-the-arts-eagle-rock-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=2hWsrZg-nOdBIUHX2Y4LzA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,x4f4Dx2qa9PNFtonfSKXHw,community center,"Center for the Arts, Eagle Rock",yelp,01-31-2020
1,pK6fMoIrFgiM4a5BXX3ayQ,4,"we came here for a friend's wedding and it was BEAUTIFUL!!! the building is gorgeous inside and out. great spot for a 100 person wedding. 

my only...",https://www.yelp.com/biz/center-for-the-arts-eagle-rock-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=pK6fMoIrFgiM4a5BXX3ayQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,Gaav09Zp7jFgd9Nw6lUdHw,community center,"Center for the Arts, Eagle Rock",yelp,01-31-2020
2,IiLmTLMZYeMLb6qf8LKVTA,5,"I had my wedding reception at CFAER. I am happy and lucky that I was able to find and book this venue for my wedding.

I was impressed and excited on my...",https://www.yelp.com/biz/center-for-the-arts-eagle-rock-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=IiLmTLMZYeMLb6qf8LKVTA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,cJ6cxPG_HA5gqLzAtcK6bg,community center,"Center for the Arts, Eagle Rock",yelp,01-31-2020
